Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
England,BEEF SHORTHORN,Non Dairy,F,60 to 66 months,182
England,BEEF SHORTHORN,Non Dairy,F,66 to 72 months,505
England,BEEF SHORTHORN,Non Dairy,F,72 to 78 months,126
England,BEEF SHORTHORN,Non Dairy,F,78 to 84 months,399
England,BEEF SHORTHORN,Non Dairy,F,84 to 90 months,95
England,BEEF SHORTHORN,Non Dairy,F,90 to 96 months,310
England,BEEF SHORTHORN,Non Dairy,F,96 to102 months,78
England,BEEF SHORTHORN,Non Dairy,F,102+months,833
England,BEEF SHORTHORN,Non Dairy,M,0 to 6 months,443
England,BEEF SHORTHORN,Non Dairy,M,6 to 12 months,"1,468"
England,BEEF SHORTHORN,Non Dairy,M,12 to 18 months,400
England,BEEF SHORTHORN,Non Dairy,M,18 to 24 months,"1,075"
England,BEEF SHORTHORN,Non Dairy,M,24 to 30 months,85
England,BEEF SHORTHORN,Non Dairy,M,30 to 36 months,158
England,BEEF SHORTHORN,Non Dairy,M,36 to 42 months,23
England,BEEF SHORTHORN,Non Dairy,M,42 to 48 Months,77
England,BEEF SHORTHORN,Non Dairy,M,48 to 54 months,26
England,BEEF SHORTHORN,Non Dairy,M,54 to 60 months,71
England,BEEF SHORTHORN,Non Dairy,M,60 to 66 months,5
England,BEEF SHORTHORN,Non Dairy,M,66 to 72 months,46
England,BEEF SHORTHORN,Non Dairy,M,72 to 78 months,6
England,BEEF SHORTHORN,Non Dairy,M,78 to 84 months,23
England,BEEF SHORTHORN,Non Dairy,M,84 to 90 months,4
England,BEEF SHORTHORN,Non Dairy,M,90 to 96 months,21
England,BEEF SHORTHORN,Non Dairy,M,96 to102 months,8
England,BEEF SHORTHORN,Non Dairy,M,102+months,37
England,BEEF SHORTHORN,Non Dairy,,42 to 48 Months,1
England,BEEF SHORTHORN X,Non Dairy,F,0 to 6 months,743
England,BEEF SHORTHORN X,Non Dairy,F,6 to 12 months,"1,475"
England,BEEF SHORTHORN X,Non Dairy,F,12 to 18 months,643
England,BEEF SHORTHORN X,Non Dairy,F,18 to 24 months,"1,052"
England,BEEF SHORTHORN X,Non Dairy,F,24 to 30 months,293
England,BEEF SHORTHORN X,Non Dairy,F,30 to 36 months,489
England,BEEF SHORTHORN X,Non Dairy,F,36 to 42 months,172
England,BEEF SHORTHORN X,Non Dairy,F,42 to 48 Months,362
England,BEEF SHORTHORN X,Non Dairy,F,48 to 54 months,134
England,BEEF SHORTHORN X,Non Dairy,F,54 to 60 months,309
England,BEEF SHORTHORN X,Non Dairy,F,60 to 66 months,120
England,BEEF SHORTHORN X,Non Dairy,F,66 to 72 months,240
England,BEEF SHORTHORN X,Non Dairy,F,72 to 78 months,122
England,BEEF SHORTHORN X,Non Dairy,F,78 to 84 months,189
England,BEEF SHORTHORN X,Non Dairy,F,84 to 90 months,86
England,BEEF SHORTHORN X,Non Dairy,F,90 to 96 months,152
England,BEEF SHORTHORN X,Non Dairy,F,96 to102 months,42
England,BEEF SHORTHORN X,Non Dairy,F,102+months,394
England,BEEF SHORTHORN X,Non Dairy,M,0 to 6 months,781
